Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
1148,Davis-Besse Nuclear Power Station,USA,2021.0,,DEMO,PEM,,Nuclear,,H2,,,,,,,,,,,,,,,2MW,2.0,385.0,0.3,385.0,"Oak Harbor, OH"
1149,Prairie Island,USA,2021.0,,DEMO,SOEC,,Nuclear,,H2,,,,,,,,,,,,,,,200kW,0.2,53.0,0.0,53.0,Prairie Island nuclear plant
1155,Kola Nuclear Power Plant demo,RUS,2022.0,,Operational,PEM,,Nuclear,,H2,,,,,,,,,,,,,,,1MW,1.0,192.0,0.1,192.0,Kola Nuclear Power Plant
1156,Hydrogen Lab Bremerhaven (phase 1),DEU,2023.0,,Operational,PEM,ME450,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,1.0,,,1MW,1.0,192.0,0.1,192.0,Bremerhaven
1158,Hydrogen Lab Leuna (phase 1),DEU,2021.0,,Operational,SOEC,,Dedicated renewable,Onshore wind,MeOH,,,1.0,,,,,,,,,,,,1MW,1.0,263.0,0.2,263.0,Leuna
1160,Hydrogen Lab Gorlitz,DEU,2023.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,444.0,0.3,444.0,Gorlitz
1161,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,100MW,,,,0.0,
1162,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,10MW,,,,0.0,
1163,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,1.0,,,,,,,,,15kt H2/y,,,,0.0,
1164,Hydrogen Eagle (Litvínov),CZE,2028.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,1.0,,,,,1.0,,,,,,,,,30MW,30.0,5769.0,4.5,5769.0,Litvínov
1167,Hydrogen Eagle (various hubs),SVK,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,60MW,60.0,13333.0,10.4,13333.0,Random location in Slovakia
1169,GreenH2Atlantic,PRT,2028.0,,Feasibility study,PEM,,Grid+Renewables,,H2,1.0,,,,,,,,,,,,,,100 MW,100.0,19231.0,15.0,19231.0,Sines refinery
1171,Hoasis (TCP Gecomp),CHL,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1.0,,,,,,,,,,,,,2100MW or 102 kt H2/y production,2100.0,466667.0,363.8,466667.0,Random location in Antofagasta
